Date,Conversion_Rate
2025-01-01,3.64
2025-01-02,3.65
2025-01-03,3.65
2025-01-04,3.65
2025-01-05,3.65
2025-01-06,3.64
2025-01-07,3.63
2025-01-08,3.64
2025-01-09,3.66
2025-01-10,3.66
2025-01-11,3.67
2025-01-12,3.68
2025-01-13,3.68
2025-01-14,3.65
2025-01-15,3.63
2025-01-16,3.63
2025-01-17,3.61
2025-01-18,3.59
2025-01-19,3.59
2025-01-20,3.58
2025-01-21,3.58
2025-01-22,3.57
2025-01-23,3.55
2025-01-24,3.56
2025-01-25,3.58
2025-01-26,3.58
2025-01-27,3.6
2025-01-28,3.61
2025-01-29,3.61
2025-01-30,3.6
2025-01-31,3.58
2025-02-01,3.58
2025-02-02,3.58
2025-02-03,3.6
2025-02-04,3.59
2025-02-05,3.57
2025-02-06,3.55
2025-02-07,3.55
2025-02-08,3.55
2025-02-09,3.55
2025-02-10,3.56
2025-02-11,3.58
2025-02-12,3.59
2025-02-13,3.59
2025-02-14,3.57
2025-02-15,3.56
2025-02-16,3.56
2025-02-17,3.55
2025-02-18,3.56
2025-02-19,3.55
2025-02-20,3.54
2025-02-21,3.55
2025-02-22,3.56
2025-02-23,3.56
2025-02-24,3.57
2025-02-25,3.579
2025-02-26,3.576
2025-02-27,3.549
2025-02-28,3.598
